Part Name,Key,Container,Row,Column,Depth
10Ω THT,10ohmtht,00,1,1,1
22Ω THT,22ohmtht,00,1,1,2
47Ω THT,47ohmtht,00,1,2,1
100Ω THT,100ohmtht,00,1,3,1
150Ω THT,150ohmtht,00,1,4,1
200Ω THT,200ohmtht,00,1,5,1
220Ω THT,220ohmtht,00,1,6,1
270Ω THT,270ohmtht,00,1,6,2
330Ω THT,330ohmtht,00,1,7,1
470Ω THT,470ohmtht,00,1,8,1
510Ω THT,510ohmtht,00,2,1,1
680Ω THT,680ohmtht,00,2,2,1
1kΩ THT,1kohmtht,00,2,3,1
2kΩ THT,2kohmtht,00,2,4,1
2.2kΩ THT,2k2ohmtht,00,2,4,2
3.3kΩ THT,3k3ohmtht,00,2,5,1
4.7kΩ THT,4k7ohmtht,00,2,6,1
5.1kΩ THT,5k1ohmtht,00,2,7,1
6.8kΩ THT,6k8ohmtht,00,2,7,2
10kΩ THT,10kohmtht,00,2,8,1
20kΩ THT,20kohmtht,00,3,1,1
47kΩ THT,47kohmtht,00,3,2,1
51kΩ THT,51kohmtht,00,3,2,2
68kΩ THT,68kohmtht,00,3,3,1
100kΩ THT,100kohmtht,00,3,4,1
220kΩ THT,220kohmtht,00,3,5,1
300kΩ THT,300kohmtht,00,3,6,1
470kΩ THT,470kohmtht,00,3,7,1
680kΩ THT,680kohmtht,00,3,8,1
1MΩ THT,100mohmtht,00,4,1,1
100pF Ceramic,100pfcertht,00,4,2,1
1nF Ceramic,1nfcertht,00,4,2,2
10nF Ceramic,10nfcertht,00,4,3,1
100nF Ceramic,100nfcertht,00,4,3,2
1μF Ceramic,1ufcertht,00,4,4,1
20pF Ceramic,20pfcertht,00,4,4,2
22pF Ceramic,22pfcertht,00,4,5,1
220pF Ceramic,220pfcertht,00,4,5,2
2.2nF Ceramic,2n2fcertht,00,4,6,1
22nF Ceramic,22nfcertht,00,4,6,2
220nF Ceramic,220nfcertht,00,4,7,1
30pF Ceramic,30pfcertht,00,4,7,2
330pF Ceramic,330pfcertht,00,4,8,1
33nF Ceramic,33nfcertht,00,4,8,2
330nF Ceramic,330nfcertht,00,5,1,1
470pF Ceramic,470pfcertht,00,5,1,2
47nF Ceramic,47nfcertht,00,5,2,1
470nF Ceramic,470nfcertht,00,5,2,2
1μF Electrolytic,1ufelectht,00,5,3,1
2.2μF Electrolytic,2u2felectht,00,5,4,1
3.3μF Electrolytic,3u3felectht,00,5,5,1
4.7μF Electrolytic,4u7felectht,00,5,6,1
10μF Electrolytic,10ufelectht,00,5,7,1
22μF Electrolytic,22ufelectht,00,5,8,1
33μF Electrolytic,33ufelectht,00,6,1,1
47μF Electrolytic,47ufelectht,00,6,2,1
100μF Electrolytic,100ufelectht,00,6,3,1
220μF Electrolytic,220ufelectht,00,6,4,1
330μF Electrolytic,330ufelectht,00,6,5,1
470μF Electrolytic,470ufelectht,00,6,6,1
IN4148 Diode,in4148,00,6,7,1
IN4007 Diode,in4007,00,6,7,2
IN4004 Diode,in4004,00,6,8,1
IN4001 Diode,in4001,00,6,8,2
IN4002 Diode,in4002,00,7,1,1
FR107 Diode,fr107,00,7,2,1
FR207 Diode,fr207,00,7,3,1
IN5819 Diode,in5819,00,7,4,1
IN5399 Diode,in5399,00,7,5,1
IN5408 Diode,in5408,00,7,6,1
IN5822 Diode,in5822,00,7,7,1
2N3904 NPN,2n3904,00,7,8,1
2N3906 PNP,2n3906,00,8,1,1
TIP122 Darl. NPN,TIP122,00,8,2,1
S8050 NPN,s8050,00,8,3,1
S8550 PNP,s8550,00,8,4,1
6x6x7 Tactile THT,667tactiletht,00,8,5,1
8-pin DIP Socket,dip8socket,00,8,6,1
14-pin DIP Socket,dip14socket,00,8,7,1
Male Header,maleheader,00,8,8,1
Red THT LED,redledtht,01,1,1,1
Yellow THT LED,yellowledtht,01,1,2,1
Green THT LED,greenledtht,01,1,3,1
Blue THT LED,blueledtht,01,1,4,1
White THT LED,whiteledtht,01,1,5,1
Ferrite Core,ferritecore,01,1,6,1
8448 SPI LCD,8448lcdspi,01,1,7,1
39x19 Solar Cell,3919solarcell,01,1,8,1
Mini Breadboard,minibreadboard,01,2,1,1
Switch Joystick,switchjoystick,01,2,2,1
Photoresistor,photoresistor,01,2,3,1
4kHz Crystal,4khzCrystal,01,2,4,1
8kHz Crystal,8khzCrystal,01,2,5,1
12kHz Crystal,12khzCrystal,01,2,6,1
16kHz Crystal,16khzCrystal,01,2,7,1
20kHz Crystal,20khzCrystal,01,2,8,1
25kHz Crystal,25khzCrystal,01,3,1,1
32.768kHz Crystal,32k768hzCrystal,01,3,2,1
1P2T Switch,ss12d00,01,3,3,1
3144 Hall Sensor,a3144,01,3,4,1
THT Buzzer,12085buzzer,01,3,5,1
Touch Sens. Mod.,ttp223bmodule,01,3,6,1
5.5x2.1mm F,5m5x2m1mfemale,01,3,7,1
5.5x2.1mm M,5m5x2m1mmale,01,3,8,1
125V 10A Relay,srd5vdcslc,01,4,1,1
40x40mm HSink,40mmx40mmheatsink,01,4,2,1
Li-ion Module,tp4056module,01,4,3,1
FM Module,rda5807mmodule,01,4,4,1
12V Reg. THT,l7812cv,01,4,5,1
5V Reg. THT,l7805cv,01,4,6,1
DC Buck Module,buckmodule,01,4,7,1
DC Boost Module,boostmodule,01,4,8,1
8x1mm Disk Mag.,8mmx1mmdiskmagnet,01,5,1,1
10kΩ NTC THT,10kohmntctht,01,5,2,1
5mm IR Emitter,5mmiremitter,01,5,3,1
5mm IR Receiver,5mmirreceiver,01,5,4,1
hc-05 BT Module,hc05btmodule,01,5,5,1
3.5mm Female,3m5mfemale,01,5,6,1
MicroSD Module,microsdmodule,01,5,7,1
18650 Holder,18650holder,01,5,8,1
4xAAA Holder,4aaaholder,01,6,1,1
Rotary Encoder,rotaryencoder,01,6,2,1
12706 Peltier,tec112706,01,6,3,1
WS2812b LED,ws2812b,01,6,4,1
10kΩ Pot.,10kohmpotentiometer,01,6,5,1
433MHz Tx,433mhztransmitter,01,6,6,1
433MHz Rx,433mhzreceiver,01,6,7,1
IRFZ44N MOSFET,irfz44n,01,6,8,1
CD4060BE,cd4060be,01,7,1,1
SN74HC595N,cn74hc595n,01,7,2,1
CD74HC4051E,cd74hc4051e,01,7,3,1
HM628128ALP-7,hm628128alp7,01,7,4,1
ATMEGA328P,atmega328p,01,7,5,1
ATTINY85,attiny85,01,7,6,1
LM358,lm358,01,7,7,1
NE555P,ne555p,01,7,8,1
PC817 Optocoup.,pc817,01,8,1,1
1602 LCD,1602lcd,01,8,2,1
12x12x8 Tactile,12128tactiletht,01,8,3,1
6x6x6 Tactile THT,666tactiletht,01,8,4,1
Knobs,knobs,01,8,5,1